répond au tchat du chef de l’ église avec un SMS	[IN:SEND_MESSAGE [SL:GROUP chef de l’ église SL:GROUP] IN:SEND_MESSAGE]
appelle l' époux de Kellee Aguino	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED Kellee Aguino SL:CONTACT_RELATED]     [SL:TYPE_RELATION l' époux SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
appelle le petit ami d' Ivy	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED Ivy SL:CONTACT_RELATED]     [SL:TYPE_RELATION le petit ami SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
appelle le frère de Luna	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED Luna SL:CONTACT_RELATED]     [SL:TYPE_RELATION frère SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
appelle la mère de Russell Perches	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED Russell Perches SL:CONTACT_RELATED]     [SL:TYPE_RELATION mère SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
appelle la petite amie de Yaretzi	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED Yaretzi SL:CONTACT_RELATED]     [SL:TYPE_RELATION petite amie SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
appelle la fille de Cassidy	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED Cassidy SL:CONTACT_RELATED]     [SL:TYPE_RELATION fille SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
appelle le père de Pasty Inks	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED Pasty Inks SL:CONTACT_RELATED]     [SL:TYPE_RELATION père SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
appelle le médecin généraliste	[IN:CREATE_CALL [SL:CONTACT médecin généraliste SL:CONTACT] IN:CREATE_CALL]
Quels matchs de basket se déroulent en ce moment - même	[IN:GET_EVENT [SL:CATEGORY_EVENT matchs de basket SL:CATEGORY_EVENT] IN:GET_EVENT]
Qu' est - ce qu' il y a comme matchs en ce moment	[IN:GET_EVENT [SL:CATEGORY_EVENT matchs SL:CATEGORY_EVENT] IN:GET_EVENT]
ajoute Peyton	[IN:UPDATE_CALL [SL:CONTACT_ADDED Peyton SL:CONTACT_ADDED] IN:UPDATE_CALL]
ajoute Charity Starchman	[IN:UPDATE_CALL [SL:CONTACT_ADDED Charity Starchman SL:CONTACT_ADDED] IN:UPDATE_CALL]
Combien y a - t - il d' anniversaires le 18 janvier 1967 ?	[IN:GET_CONTACT [SL:DATE_TIME le 18 janvier 1967 SL:DATE_TIME] IN:GET_CONTACT]
Quelle personnalité locale est née à Winford le 12 avril ?	[IN:GET_CONTACT [SL:CONTACT_RELATED Winford SL:CONTACT_RELATED] [SL:DATE_TIME le 12 avril SL:DATE_TIME] IN:GET_CONTACT]
Quelle connaissance de Mme Maryln Truocchio est née le 7 juin ?	[IN:GET_CONTACT [SL:CONTACT_RELATED Mme Maryln Truocchio SL:CONTACT_RELATED] [SL:DATE_TIME le 7 juin SL:DATE_TIME] IN:GET_CONTACT]
Quand est - ce que la nuit tombera demain	[IN:GET_SUNSET [SL:DATE_TIME demain SL:DATE_TIME] IN:GET_SUNSET]
Envoie un message à Austin Mayers	[IN:SEND_MESSAGE [SL:RECIPIENT Austin Mayers SL:RECIPIENT] IN:SEND_MESSAGE]
S' il te plaît supprime le rappel pour appeler Anna	[IN:DELETE_REMINDER [SL:TODO [IN:CREATE_CALL [SL:CONTACT Anna SL:CONTACT] IN:CREATE_CALL] SL:TODO] IN:DELETE_REMINDER]
Rappelle - moi ce samedi .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED moi SL:PERSON_REMINDED] [SL:DATE_TIME ce samedi SL:DATE_TIME] IN:CREATE_REMINDER]
Rappelle - moi que Bruce arrive après - demain .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED moi SL:PERSON_REMINDED] [SL:TODO   [IN:GET_TODO     [SL:TODO Bruce arrive SL:TODO]     [SL:DATE_TIME après - demain SL:DATE_TIME] IN:GET_TODO] SL:TODO] IN:CREATE_REMINDER]
Rappelle - moi d' appeler mon frère après le travail .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED moi SL:PERSON_REMINDED] [SL:TODO   [IN:GET_TODO     [SL:TODO       [IN:CREATE_CALL         [SL:CONTACT           [IN:GET_CONTACT             [SL:CONTACT_RELATED mon SL:CONTACT_RELATED]             [SL:TYPE_RELATION frère SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL] SL:TODO]     [SL:TODO après le travail SL:TODO] IN:GET_TODO] SL:TODO] IN:CREATE_REMINDER]
Rappelle - moi d' éteindre la cuisinière .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED moi SL:PERSON_REMINDED] [SL:TODO éteindre la cuisinière SL:TODO] IN:CREATE_REMINDER]
envoie un message à la masseria et demande si elle a trouvé la bague que j' ai perdue	[IN:SEND_MESSAGE [SL:RECIPIENT la masseria SL:RECIPIENT] [SL:CONTENT_EXACT elle a trouvé la bague que j' ai perdue SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Hé bot ! Peux - tu envoyer un message à Elizabeth pour lui dire que je serai chez elle dans 15 minutes ?	[IN:SEND_MESSAGE [SL:RECIPIENT Elizabeth SL:RECIPIENT] [SL:CONTENT_EXACT je serai chez elle dans 15 minutes SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Change le rappel indiquant « prendre de l' essence »	[IN:UPDATE_REMINDER [SL:TODO prendre de l' essence SL:TODO] IN:UPDATE_REMINDER]
lis le nouveau message .	[IN:GET_MESSAGE  IN:GET_MESSAGE]
Continue à lire ce message .	[IN:GET_MESSAGE  IN:GET_MESSAGE]
connecte - moi avec un ira	[IN:CREATE_CALL [SL:CONTACT un ira SL:CONTACT] IN:CREATE_CALL]
essaie d’ appeler Angelica Shelby	[IN:CREATE_CALL [SL:CONTACT Angelica Shelby SL:CONTACT] IN:CREATE_CALL]
appelle Madison	[IN:CREATE_CALL [SL:CONTACT Madison SL:CONTACT] IN:CREATE_CALL]
bascule vers l' appel de Jackson Brandon	[IN:SWITCH_CALL [SL:CONTACT Jackson Brandon SL:CONTACT] IN:SWITCH_CALL]
peux - tu répondre à l' appel d' ava Brandon	[IN:ANSWER_CALL [SL:CONTACT ava Brandon SL:CONTACT] IN:ANSWER_CALL]
arrête d’ appeler Ira Gonzales	[IN:END_CALL [SL:CONTACT Ira Gonzales SL:CONTACT] IN:END_CALL]
essaye de téléphoner à Nancy Austin	[IN:CREATE_CALL [SL:CONTACT Nancy Austin SL:CONTACT] IN:CREATE_CALL]
Peux - tu essayer d' appeler Brian ?	[IN:CREATE_CALL [SL:CONTACT Brian SL:CONTACT] IN:CREATE_CALL]
essaye d' appeler Sherman Austin .	[IN:CREATE_CALL [SL:CONTACT Sherman Austin SL:CONTACT] IN:CREATE_CALL]
passe un appel vidéo à ava ira	[IN:CREATE_CALL [SL:CONTACT ava ira SL:CONTACT] IN:CREATE_CALL]
Je dois appeler un bon copain	[IN:CREATE_CALL [SL:CONTACT bon copain SL:CONTACT] IN:CREATE_CALL]
Lequel de mes frères est en ligne en ce moment ?	[IN:GET_AVAILABILITY [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED mes SL:CONTACT_RELATED]     [SL:TYPE_RELATION frères SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:GET_AVAILABILITY]
ne réponds pas à cet appel s' il te plaît	[IN:IGNORE_CALL  IN:IGNORE_CALL]
ne réponds pas à cet appel	[IN:IGNORE_CALL  IN:IGNORE_CALL]
s’ il te plaît rejette l’ appel	[IN:IGNORE_CALL  IN:IGNORE_CALL]
n'importe quel ami en ligne maintenant	[IN:GET_AVAILABILITY  IN:GET_AVAILABILITY]
ne réponds pas	[IN:IGNORE_CALL  IN:IGNORE_CALL]
Affiche - moi comme disponible pour le moment	[IN:SET_AVAILABLE  IN:SET_AVAILABLE]
Ajoute Alexander à l' appel	[IN:UPDATE_CALL [SL:CONTACT_ADDED Alexander SL:CONTACT_ADDED] IN:UPDATE_CALL]
Peux - tu me signaler comme étant indisponible ?	[IN:SET_UNAVAILABLE  IN:SET_UNAVAILABLE]
Qui est en ligne parmi mes connaissances ?	[IN:GET_AVAILABILITY  IN:GET_AVAILABILITY]
qui est en ligne ?	[IN:GET_AVAILABILITY  IN:GET_AVAILABILITY]
Levi est - il en ligne ?	[IN:GET_AVAILABILITY [SL:CONTACT Levi SL:CONTACT] IN:GET_AVAILABILITY]
qui de mes amis est en ligne	[IN:GET_AVAILABILITY  IN:GET_AVAILABILITY]
est - ce que j' ai des amis en ligne	[IN:GET_AVAILABILITY  IN:GET_AVAILABILITY]
Dis - moi quels amis sont en ligne maintenant ?	[IN:GET_AVAILABILITY  IN:GET_AVAILABILITY]
dis - moi quels sont les utilisateurs connectés que je connais	[IN:GET_AVAILABILITY  IN:GET_AVAILABILITY]
Qui de ma famille est en ligne ?	[IN:GET_AVAILABILITY [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED ma SL:CONTACT_RELATED]     [SL:TYPE_RELATION famille SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:GET_AVAILABILITY]
Quelqu'un est en ligne ? Qui ?	[IN:GET_AVAILABILITY  IN:GET_AVAILABILITY]
Dis - moi qui des amis sont en ligne en ce moment	[IN:GET_AVAILABILITY  IN:GET_AVAILABILITY]
appelle aussi maman et ajoute - la	[IN:UPDATE_CALL [SL:CONTACT_ADDED [IN:GET_CONTACT [SL:TYPE_RELATION maman SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT_ADDED] IN:UPDATE_CALL]
Il y a des gens connectés ?	[IN:GET_AVAILABILITY  IN:GET_AVAILABILITY]
merci d' appeler Lisa	[IN:CREATE_CALL [SL:CONTACT Lisa SL:CONTACT] IN:CREATE_CALL]
Je suis disponible aujourd'hui	[IN:SET_AVAILABLE  IN:SET_AVAILABLE]
LANCE L' APPEL AVEC JENNY	[IN:CREATE_CALL [SL:CONTACT JENNY SL:CONTACT] IN:CREATE_CALL]
passe un appel téléphonique	[IN:CREATE_CALL  IN:CREATE_CALL]
qui est actif ou en ligne dans la salle de chat ?	[IN:GET_AVAILABILITY  IN:GET_AVAILABILITY]
Ajoute Francine à l’ appel , s’ il te plaît	[IN:UPDATE_CALL [SL:CONTACT_ADDED Francine SL:CONTACT_ADDED] IN:UPDATE_CALL]
inaccessible	[IN:SET_UNAVAILABLE  IN:SET_UNAVAILABLE]
appelle kelly s' il te plaît	[IN:CREATE_CALL [SL:CONTACT kelly SL:CONTACT] IN:CREATE_CALL]
appelle kevin	[IN:CREATE_CALL [SL:CONTACT kevin SL:CONTACT] IN:CREATE_CALL]
Fin d’ appel	[IN:END_CALL  IN:END_CALL]
définis mon statut sur utilisateur occupé	[IN:SET_UNAVAILABLE  IN:SET_UNAVAILABLE]
change mon statut de disponible à actuellement non disponible	[IN:SET_UNAVAILABLE  IN:SET_UNAVAILABLE]
quitte cet appel pour changer	[IN:SWITCH_CALL  IN:SWITCH_CALL]
s' il te plaît , arrête l' appel	[IN:END_CALL  IN:END_CALL]
est - ce que quelqu'un est disponible en ce moment	[IN:GET_AVAILABILITY  IN:GET_AVAILABILITY]
Qui est libre	[IN:GET_AVAILABILITY  IN:GET_AVAILABILITY]
je suis disponible toute la journée	[IN:SET_AVAILABLE  IN:SET_AVAILABLE]
indique que je suis disponible	[IN:SET_AVAILABLE  IN:SET_AVAILABLE]
Organise un appel groupé	[IN:CREATE_CALL  IN:CREATE_CALL]
Transfère vers un autre appel	[IN:SWITCH_CALL  IN:SWITCH_CALL]
montre - moi qui est en ligne	[IN:GET_AVAILABILITY  IN:GET_AVAILABILITY]
les personnes disponibles s' il te plaît	[IN:GET_AVAILABILITY  IN:GET_AVAILABILITY]
Montre - moi qui est libre	[IN:GET_AVAILABILITY  IN:GET_AVAILABILITY]
Donne - moi une liste des personnes disponibles	[IN:GET_AVAILABILITY  IN:GET_AVAILABILITY]
Mets cet appel en attente et prends l’ autre	[IN:SWITCH_CALL  IN:SWITCH_CALL]
Je dois passer à l' appel entrant	[IN:SWITCH_CALL  IN:SWITCH_CALL]
termine et change d’ appel , s’ il te plaît	[IN:SWITCH_CALL  IN:SWITCH_CALL]
s’ il te plaît , passe - moi l’ autre appel	[IN:SWITCH_CALL  IN:SWITCH_CALL]
Commutation d' appel	[IN:SWITCH_CALL  IN:SWITCH_CALL]
Je dois ajouter quelqu'un à cet appel	[IN:UPDATE_CALL  IN:UPDATE_CALL]
Arrête l' appel maintenant	[IN:END_CALL  IN:END_CALL]
Mode prêt maintenant	[IN:SET_AVAILABLE  IN:SET_AVAILABLE]
Règle le statut sur occupé	[IN:SET_UNAVAILABLE  IN:SET_UNAVAILABLE]
déconnecte et répond sur l' autre ligne	[IN:SWITCH_CALL  IN:SWITCH_CALL]
quitte l' appel et prends le nouvel appel	[IN:SWITCH_CALL  IN:SWITCH_CALL]
raccroche	[IN:END_CALL  IN:END_CALL]
mets - moi en contact avec une personne disponible	[IN:GET_AVAILABILITY  IN:GET_AVAILABILITY]
Je suis injoignable	[IN:SET_UNAVAILABLE  IN:SET_UNAVAILABLE]
téléphone à un ami	[IN:CREATE_CALL [SL:CONTACT [IN:GET_CONTACT [SL:TYPE_RELATION ami SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
raccroche pour terminer l' appel	[IN:END_CALL  IN:END_CALL]
passe un appel groupé à la famille	[IN:CREATE_CALL [SL:CONTACT [IN:GET_CONTACT [SL:TYPE_RELATION famille SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
appelle bella	[IN:CREATE_CALL [SL:CONTACT bella SL:CONTACT] IN:CREATE_CALL]
Ajoute Sarah à l’ appel	[IN:UPDATE_CALL [SL:CONTACT_ADDED Sarah SL:CONTACT_ADDED] IN:UPDATE_CALL]
appelle aussi susie	[IN:UPDATE_CALL [SL:CONTACT_ADDED susie SL:CONTACT_ADDED] IN:UPDATE_CALL]
ajoute John à l' appel suivant	[IN:UPDATE_CALL [SL:CONTACT_ADDED John SL:CONTACT_ADDED] IN:UPDATE_CALL]
Ajoute Paul à l' appel	[IN:UPDATE_CALL [SL:CONTACT_ADDED Paul SL:CONTACT_ADDED] IN:UPDATE_CALL]
Ajoute Will à l' appel	[IN:UPDATE_CALL [SL:CONTACT_ADDED Will SL:CONTACT_ADDED] IN:UPDATE_CALL]
lance l' appel pour sam	[IN:CREATE_CALL [SL:CONTACT sam SL:CONTACT] IN:CREATE_CALL]
Appelle Roger maintenant s’ il te plaît	[IN:CREATE_CALL [SL:CONTACT Roger SL:CONTACT] IN:CREATE_CALL]
appelle mon fils	[IN:CREATE_CALL [SL:CONTACT [IN:GET_CONTACT [SL:TYPE_RELATION fils SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Appelle Jane , s' il te plaît	[IN:CREATE_CALL [SL:CONTACT Jane SL:CONTACT] IN:CREATE_CALL]
Peux - tu ajouter Nikki à cet appel	[IN:UPDATE_CALL [SL:CONTACT_ADDED Nikki SL:CONTACT_ADDED] IN:UPDATE_CALL]
Je souhaite inviter Nikki à mon appel en cours	[IN:UPDATE_CALL [SL:CONTACT_ADDED Nikki SL:CONTACT_ADDED] IN:UPDATE_CALL]
invite maman et papa à rejoindre l' appel	[IN:UPDATE_CALL [SL:CONTACT_ADDED [IN:GET_CONTACT [SL:TYPE_RELATION maman SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT_ADDED] [SL:CONTACT_ADDED [IN:GET_CONTACT [SL:TYPE_RELATION papa SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT_ADDED] IN:UPDATE_CALL]
Je voudrais envoyer une invitation d’ appel à Joey	[IN:UPDATE_CALL [SL:CONTACT_ADDED Joey SL:CONTACT_ADDED] IN:UPDATE_CALL]
peux - tu s' il te plaît inviter Dan à mon appel de groupe	[IN:UPDATE_CALL [SL:CONTACT_ADDED Dan SL:CONTACT_ADDED] IN:UPDATE_CALL]
Ajoute maman à l’ appel , s’ il te plaît	[IN:UPDATE_CALL [SL:CONTACT_ADDED [IN:GET_CONTACT [SL:TYPE_RELATION maman SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT_ADDED] IN:UPDATE_CALL]
demande à Matt s' il veut rejoindre cet appel	[IN:UPDATE_CALL [SL:CONTACT_ADDED Matt SL:CONTACT_ADDED] IN:UPDATE_CALL]
Appelons Mika maintenant	[IN:CREATE_CALL [SL:CONTACT Mika SL:CONTACT] IN:CREATE_CALL]
s' il te plaît appelle maman	[IN:CREATE_CALL [SL:CONTACT [IN:GET_CONTACT [SL:TYPE_RELATION maman SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
réponds aux appels à venir de mes parents	[IN:ANSWER_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED mes SL:CONTACT_RELATED]     [SL:TYPE_RELATION parents SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:ANSWER_CALL]
mon beau - père est en ligne ou non .	[IN:GET_AVAILABILITY [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED mon SL:CONTACT_RELATED]     [SL:TYPE_RELATION beau - père . SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:GET_AVAILABILITY]
appelle mes frères et sœurs	[IN:UPDATE_CALL [SL:CONTACT_ADDED   [IN:GET_CONTACT     [SL:CONTACT_RELATED mes SL:CONTACT_RELATED]     [SL:TYPE_RELATION frères et sœurs SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT_ADDED] IN:UPDATE_CALL]
Ajoute ma tante à cet appel .	[IN:UPDATE_CALL [SL:CONTACT_ADDED   [IN:GET_CONTACT [SL:CONTACT_RELATED ma SL:CONTACT_RELATED] [SL:TYPE_RELATION tante SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT_ADDED] IN:UPDATE_CALL]
Réponds à l' appel des mamans Trudy	[IN:ANSWER_CALL [SL:CONTACT   [IN:GET_CONTACT [SL:TYPE_RELATION mamans SL:TYPE_RELATION] [SL:CONTACT Trudy SL:CONTACT] IN:GET_CONTACT] SL:CONTACT] IN:ANSWER_CALL]
Appelle mon beau - frère	[IN:CREATE_CALL [SL:CONTACT [IN:GET_CONTACT [SL:TYPE_RELATION beau - frère SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
envoie une invitation téléphonique à mes beaux - pères	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED mes SL:CONTACT_RELATED]     [SL:TYPE_RELATION beaux - pères SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
ajoute maman à cet appel	[IN:UPDATE_CALL [SL:CONTACT_ADDED [IN:GET_CONTACT [SL:TYPE_RELATION maman SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT_ADDED] IN:UPDATE_CALL]
belle - mère doit être ajoutée à cet appel	[IN:UPDATE_CALL [SL:CONTACT_ADDED [IN:GET_CONTACT [SL:TYPE_RELATION belle - mère SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT_ADDED] IN:UPDATE_CALL]
appeler mes cousins	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED mes SL:CONTACT_RELATED]     [SL:TYPE_RELATION cousins SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
contacte les beaux - fils et belles - filles	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:TYPE_RELATION beaux - fils et belles - filles SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Envoie un message à Clarissa pour lui demander si elle peut aller à l' église aujourd'hui	[IN:SEND_MESSAGE [SL:RECIPIENT Clarissa SL:RECIPIENT] [SL:CONTENT_EXACT si elle peut aller à l' église aujourd'hui SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Envoie un message à Andy pour le prévenir que nous ne viendrons pas ce soir	[IN:SEND_MESSAGE [SL:RECIPIENT Andy SL:RECIPIENT] [SL:CONTENT_EXACT nous ne viendrons pas ce soir SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Envoie un message à Andrea et dis - lui de me communiquer sa position pour que je passe la prendre .	[IN:SEND_MESSAGE [SL:RECIPIENT Andrea SL:RECIPIENT] [SL:CONTENT_EXACT   me   communiquer   sa   position   pour   que   je   passe   la   prendre SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Envoie un message pour demander à Tony la route pour aller chez lui .	[IN:SEND_MESSAGE [SL:RECIPIENT Tony SL:RECIPIENT] [SL:CONTENT_EXACT la route pour aller chez lui SL:CONTENT_EXACT] IN:SEND_MESSAGE]
S' il te plaît assure - toi que Monica sait que la taverne n'ouvre pas avant 17 h .	[IN:SEND_MESSAGE [SL:RECIPIENT Monica SL:RECIPIENT] [SL:CONTENT_EXACT la taverne n'ouvre pas avant 17 h SL:CONTENT_EXACT] IN:SEND_MESSAGE]
demande à Sara si elle va à l' événement professionnel demain	[IN:SEND_MESSAGE [SL:RECIPIENT Sara SL:RECIPIENT] [SL:CONTENT_EXACT elle va à l' événement professionnel demain SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Je veux que tu demandes à Kat si la séance de yoga tient pour demain .	[IN:SEND_MESSAGE [SL:RECIPIENT Kat SL:RECIPIENT] [SL:CONTENT_EXACT la séance de yoga tient pour demain SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Envoie un message à Mabel et lui demander de traire les vaches avant que je rentre	[IN:SEND_MESSAGE [SL:RECIPIENT Mabel SL:RECIPIENT] [SL:CONTENT_EXACT traire les vaches avant que je rentre SL:CONTENT_EXACT] IN:SEND_MESSAGE]
dis à Julie que je ne trouve nulle part de détails sur son évènement Coffee Clatch	[IN:SEND_MESSAGE [SL:RECIPIENT Julie SL:RECIPIENT] [SL:CONTENT_EXACT   je   ne   trouve   nulle   part   de   détails   sur   son   évènement   Coffee   Clatch SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Contacte Kylie demande - lui si elle a les détails du slam de poésie du 30 juin .	[IN:SEND_MESSAGE [SL:RECIPIENT Kylie SL:RECIPIENT] [SL:CONTENT_EXACT elle a les détails du slam de poésie du 30 juin SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Envoie un message à Amy pour lui dire que les soldes chez Marshall sont du 10 au 15 juillet	[IN:SEND_MESSAGE [SL:RECIPIENT Amy SL:RECIPIENT] [SL:CONTENT_EXACT   les   soldes   chez   Marshall   sont   du   10   au   15   juillet SL:CONTENT_EXACT] IN:SEND_MESSAGE]
envoie un texto à James pour lui dire que nous serons heureux de nous revoir la prochaine fois que nous passerons à San Jose	[IN:SEND_MESSAGE [SL:RECIPIENT James SL:RECIPIENT] [SL:CONTENT_EXACT   nous   serons   heureux   de   nous   revoir   la   prochaine   fois   que   nous   passerons   à   San   Jose SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Envoie un message à mes amis et dis - leur que j' ai la grippe .	[IN:SEND_MESSAGE [SL:RECIPIENT [IN:GET_CONTACT [SL:TYPE_RELATION amis SL:TYPE_RELATION] IN:GET_CONTACT] SL:RECIPIENT] [SL:CONTENT_EXACT j' ai la grippe . SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Dis à Dirk que la lecture de poèmes au café est mercredi .	[IN:SEND_MESSAGE [SL:RECIPIENT Dirk SL:RECIPIENT] [SL:CONTENT_EXACT la lecture de poèmes au café est mercredi SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Envoie un message à la famille pour leur dire que l' événement caritatif contre le cancer « Swim Across America Denver » a lieu au réservoir de Chatfield .	[IN:SEND_MESSAGE [SL:RECIPIENT [IN:GET_CONTACT [SL:TYPE_RELATION famille SL:TYPE_RELATION] IN:GET_CONTACT] SL:RECIPIENT] [SL:CONTENT_EXACT   l'   événement   caritatif   contre   le   cancer   «   Swim   Across   America   Denver   »   a   lieu   au   réservoir   de   Chatfield SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Envoie un message à Ben pour voir s' il peut venir à ma fête d' anniversaire	[IN:SEND_MESSAGE [SL:RECIPIENT Ben SL:RECIPIENT] [SL:CONTENT_EXACT il peut venir à ma fête d' anniversaire SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Envoie un message à Carrie pour l' informer que tu seras présents à la cérémonie d' action de grâce .	[IN:SEND_MESSAGE [SL:RECIPIENT Carrie SL:RECIPIENT] [SL:CONTENT_EXACT   tu   seras   présents   à   la   cérémonie   d'   action   de   grâce SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Envoie un message à la liste pour savoir si quelqu'un sort ce soir	[IN:SEND_MESSAGE [SL:CONTENT_EXACT quelqu'un sort ce soir SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Demande à Jenny de nous rejoindre à la bibliothèque la plus proche	[IN:SEND_MESSAGE [SL:RECIPIENT Jenny SL:RECIPIENT] [SL:CONTENT_EXACT nous rejoindre à la bibliothèque la plus proche SL:CONTENT_EXACT] IN:SEND_MESSAGE]
demande à Jeff d’ ajouter Mark sur le groupe du bureau	[IN:SEND_MESSAGE [SL:RECIPIENT Jeff SL:RECIPIENT] [SL:CONTENT_EXACT ajouter Mark sur le groupe du bureau SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Envoie un message à Kevin pour lui demander s' il a aimé son déjeuner .	[IN:SEND_MESSAGE [SL:RECIPIENT Kevin SL:RECIPIENT] [SL:CONTENT_EXACT il a aimé son déjeuner SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Texte Anika pour lui demander à quelle heure elle sera à la maison aujourd’hui .	[IN:SEND_MESSAGE [SL:RECIPIENT Anika SL:RECIPIENT] [SL:CONTENT_EXACT à quelle heure elle sera à la maison aujourd’hui SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Envoie un message à ma tante pour lui demander si elle a vu papi récemment .	[IN:SEND_MESSAGE [SL:RECIPIENT   [IN:GET_CONTACT [SL:CONTACT_RELATED ma SL:CONTACT_RELATED] [SL:TYPE_RELATION tante SL:TYPE_RELATION] IN:GET_CONTACT] SL:RECIPIENT] [SL:CONTENT_EXACT elle a vu papi récemment SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Envoie à George un message pour lui dire que je ne le verrai pas dans la matinée .	[IN:SEND_MESSAGE [SL:RECIPIENT George SL:RECIPIENT] [SL:CONTENT_EXACT je ne le verrai pas dans la matinée SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Envoie un message à mon père et dis - lui que je ne peux pas parler en ce moment parce que je suis en réunion	[IN:SEND_MESSAGE [SL:RECIPIENT   [IN:GET_CONTACT [SL:CONTACT_RELATED mon SL:CONTACT_RELATED] [SL:TYPE_RELATION père SL:TYPE_RELATION] IN:GET_CONTACT] SL:RECIPIENT] [SL:CONTENT_EXACT   je   ne   peux   pas   parler   en   ce   moment   parce   que   je   suis   en   réunion SL:CONTENT_EXACT] IN:SEND_MESSAGE]
