Antworte im Chat mit der Kirchenführung	[IN:SEND_MESSAGE [SL:GROUP Kirchenführung SL:GROUP] IN:SEND_MESSAGE]
Erinner mich daran , University Oaks um 18 Uhr wegen der Bewerbung anzurufen .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED mich SL:PERSON_REMINDED] [SL:TODO   [IN:GET_TODO     [SL:TODO [IN:CREATE_CALL [SL:CONTACT University Oaks SL:CONTACT] IN:CREATE_CALL] SL:TODO]     [SL:TODO wegen der Bewerbung SL:TODO] IN:GET_TODO] SL:TODO] [SL:DATE_TIME um 18 Uhr SL:DATE_TIME] IN:CREATE_REMINDER]
Erinnere mich in 30 Minuten daran , nach dem Ofen zu schauen	[IN:CREATE_REMINDER [SL:PERSON_REMINDED mich SL:PERSON_REMINDED] [SL:TODO nach dem Ofen zu schauen SL:TODO] [SL:DATE_TIME in 30 Minuten SL:DATE_TIME] IN:CREATE_REMINDER]
Erinnere mich , morgen früh um 9 Uhr zur Arbeit zu gehen .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED mich SL:PERSON_REMINDED] [SL:TODO zur Arbeit zu gehen SL:TODO] [SL:DATE_TIME morgen früh um 9 Uhr SL:DATE_TIME] IN:CREATE_REMINDER]
Erinner mich daran , heute meinen Vater anzurufen .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED mich SL:PERSON_REMINDED] [SL:TODO   [IN:CREATE_CALL     [SL:CONTACT       [IN:GET_CONTACT         [SL:CONTACT_RELATED meinen SL:CONTACT_RELATED]         [SL:TYPE_RELATION Vater SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL] SL:TODO] [SL:DATE_TIME heute SL:DATE_TIME] IN:CREATE_REMINDER]
Lösche die Erinnerung an meinen Arzttermin .	[IN:DELETE_REMINDER [SL:TODO meinen Arzttermin SL:TODO] IN:DELETE_REMINDER]
Welche Erinnerungen habe ich für Dienstag ?	[IN:GET_REMINDER [SL:PERSON_REMINDED ich SL:PERSON_REMINDED] [SL:DATE_TIME für Dienstag SL:DATE_TIME] IN:GET_REMINDER]
Kannst du mich daran erinnern , dem Facebook - Käufer eine Nachricht zu schicken , um die Uhrzeit für unser Treffen am Samstag zu bestätigen ?	[IN:CREATE_REMINDER [SL:PERSON_REMINDED mich SL:PERSON_REMINDED] [SL:TODO   [IN:SEND_MESSAGE     [SL:METHOD_MESSAGE Nachricht SL:METHOD_MESSAGE]     [SL:RECIPIENT Facebook - Käufer SL:RECIPIENT]     [SL:CONTENT_EXACT Uhrzeit für unser Treffen bestätigen SL:CONTENT_EXACT] IN:SEND_MESSAGE] SL:TODO] [SL:DATE_TIME am Samstag SL:DATE_TIME] IN:CREATE_REMINDER]
Lösche meine Erinnerung an die Party am Freitag	[IN:DELETE_REMINDER [SL:PERSON_REMINDED meine SL:PERSON_REMINDED] [SL:TODO die Party SL:TODO] [SL:DATE_TIME am Freitag SL:DATE_TIME] IN:DELETE_REMINDER]
Ändere meine Frisörtermin - Erinnerung auf 14.30 Uhr morgen .	[IN:UPDATE_REMINDER_DATE_TIME [SL:PERSON_REMINDED meine SL:PERSON_REMINDED] [SL:TODO Frisörtermin SL:TODO] [SL:DATE_TIME auf 14.30 Uhr morgen SL:DATE_TIME] IN:UPDATE_REMINDER_DATE_TIME]
Erstelle eine Erinnerung , später heute Abend mit meiner Mutter zu skypen .	[IN:CREATE_REMINDER [SL:TODO   [IN:CREATE_CALL     [SL:NAME_APP skypen SL:NAME_APP]     [SL:CONTACT       [IN:GET_CONTACT         [SL:CONTACT_RELATED meiner SL:CONTACT_RELATED]         [SL:TYPE_RELATION Mutter SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL] SL:TODO] [SL:DATE_TIME später heute Abend SL:DATE_TIME] IN:CREATE_REMINDER]
Erinner mich daran , heute um 17 Uhr Tina anzurufen .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED mich SL:PERSON_REMINDED] [SL:TODO [IN:CREATE_CALL [SL:CONTACT Tina SL:CONTACT] IN:CREATE_CALL] SL:TODO] [SL:DATE_TIME heute um 17 Uhr SL:DATE_TIME] IN:CREATE_REMINDER]
Erinnere mich daran , dass meine Prüfung am Sonntag um Mitternacht fällig ist .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED mich SL:PERSON_REMINDED] [SL:TODO meine Prüfung fällig ist SL:TODO] [SL:DATE_TIME am Sonntag um Mitternacht SL:DATE_TIME] IN:CREATE_REMINDER]
Erinnere mich am Freitag um 20.00 Uhr daran , dass Landry die zweite Portion ihrer Medikamente nehmen muss .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED mich SL:PERSON_REMINDED] [SL:DATE_TIME am Freitag um 20.00 Uhr SL:DATE_TIME] [SL:TODO Landry die zweite Portion ihrer Medikamente nehmen muss SL:TODO] IN:CREATE_REMINDER]
Welche Erinnerungen habe ich für nächstes Wochenende ?	[IN:GET_REMINDER [SL:PERSON_REMINDED ich SL:PERSON_REMINDED] [SL:DATE_TIME für nächstes Wochenende SL:DATE_TIME] IN:GET_REMINDER]
Bitte richte eine Erinnerung für ein Treffen mit dem Marketing - Team am Freitag um 10 Uhr ein	[IN:CREATE_REMINDER [SL:TODO   [IN:GET_TODO [SL:TODO Treffen SL:TODO] [SL:ATTENDEE Marketing - Team SL:ATTENDEE] IN:GET_TODO] SL:TODO] [SL:DATE_TIME am Freitag um 10 Uhr SL:DATE_TIME] IN:CREATE_REMINDER]
Erinnere mich daran , Tee Away anzurufen , um eine Abschlagszeit für Samstagmorgen zu vereinbaren .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED mich SL:PERSON_REMINDED] [SL:TODO   [IN:GET_TODO     [SL:TODO [IN:CREATE_CALL [SL:CONTACT Tee Away SL:CONTACT] IN:CREATE_CALL] SL:TODO]     [SL:TODO eine Abschlagszeit SL:TODO]     [SL:TODO vereinbaren SL:TODO] IN:GET_TODO] SL:TODO] [SL:DATE_TIME für Samstagmorgen SL:DATE_TIME] IN:CREATE_REMINDER]
Erstelle für 19 Uhr eine Erinnerung , Papa anzurufen .	[IN:CREATE_REMINDER [SL:TODO   [IN:CREATE_CALL     [SL:CONTACT [IN:GET_CONTACT [SL:TYPE_RELATION Papa SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL] SL:TODO] [SL:DATE_TIME für 19 Uhr SL:DATE_TIME] IN:CREATE_REMINDER]
Erinner Deb daran , ihr Menü der Campingliste hinzuzufügen .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED Deb SL:PERSON_REMINDED] [SL:TODO ihr Menü der Campingliste hinzuzufügen SL:TODO] IN:CREATE_REMINDER]
Lösch die Erinnerung an das Frühstück	[IN:DELETE_REMINDER [SL:TODO Frühstück SL:TODO] IN:DELETE_REMINDER]
Erinnere mich daran , mir am 1 . Oktober 2018 meine Grippeimpfung zu holen	[IN:CREATE_REMINDER [SL:PERSON_REMINDED mich SL:PERSON_REMINDED] [SL:TODO meine Grippeimpfung zu holen SL:TODO] [SL:DATE_TIME am 1 . Oktober 2018 SL:DATE_TIME] IN:CREATE_REMINDER]
Erinner mich daran , dass ich am Freitag um 7 : 30 morgens zu meinem Autoemissionstest fahre .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED mich SL:PERSON_REMINDED] [SL:TODO zu meinem Autoemissionstest fahre SL:TODO] [SL:DATE_TIME am Freitag um 7 : 30 morgens SL:DATE_TIME] IN:CREATE_REMINDER]
Erinner mich daran , die Bestellung meines Cousins heute vor 17 Uhr per Post zu verschicken .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED mich SL:PERSON_REMINDED] [SL:TODO Bestellung meines Cousins per Post zu verschicken SL:TODO] [SL:DATE_TIME heute vor 17 Uhr SL:DATE_TIME] IN:CREATE_REMINDER]
Kannst du mich daran erinnern , Oma morgen Abend eine Geburtstagskarte zu schicken ?	[IN:CREATE_REMINDER [SL:PERSON_REMINDED mich SL:PERSON_REMINDED] [SL:TODO Oma eine Geburtstagskarte zu schicken SL:TODO] [SL:DATE_TIME morgen Abend SL:DATE_TIME] IN:CREATE_REMINDER]
Erinner meine Schwester übermorgen Abend daran , einen Kuchen zu backen	[IN:CREATE_REMINDER [SL:PERSON_REMINDED   [IN:GET_CONTACT     [SL:CONTACT_RELATED meine SL:CONTACT_RELATED]     [SL:TYPE_RELATION Schwester SL:TYPE_RELATION] IN:GET_CONTACT] SL:PERSON_REMINDED] [SL:TODO einen Kuchen backen SL:TODO] IN:CREATE_REMINDER]
Lösch meine Erinnerung , heute Abend Oma anzurufen .	[IN:DELETE_REMINDER [SL:PERSON_REMINDED meine SL:PERSON_REMINDED] [SL:TODO   [IN:CREATE_CALL     [SL:CONTACT [IN:GET_CONTACT [SL:TYPE_RELATION Oma SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL] SL:TODO] [SL:DATE_TIME heute Abend SL:DATE_TIME] IN:DELETE_REMINDER]
Erinner mich daran , dass ich in 10 Minuten anfangen muss , das Abendessen zu kochen	[IN:CREATE_REMINDER [SL:PERSON_REMINDED mich SL:PERSON_REMINDED] [SL:TODO anfangen , das Abendessen zu kochen SL:TODO] [SL:DATE_TIME in 10 Minuten SL:DATE_TIME] IN:CREATE_REMINDER]
Erinner mich am Freitag um 10 Uhr daran , einen Ölwechsel zu machen	[IN:CREATE_REMINDER [SL:PERSON_REMINDED mich SL:PERSON_REMINDED] [SL:TODO einen Ölwechsel zu machen SL:TODO] [SL:DATE_TIME am Freitag um 10 Uhr SL:DATE_TIME] IN:CREATE_REMINDER]
Erinnere die Gruppe an die nächste Veranstaltung des Fußballteams	[IN:CREATE_REMINDER [SL:PERSON_REMINDED Gruppe SL:PERSON_REMINDED] [SL:TODO nächste Veranstaltung des Fußballteams SL:TODO] IN:CREATE_REMINDER]
Ändere die Erinnerung daran , Bob einen Scheck zu senden , von morgen auf Mittwoch , gleiche Zeit	[IN:UPDATE_REMINDER_DATE_TIME [SL:TODO Bob einen Scheck zu senden SL:TODO] [SL:DATE_TIME von morgen SL:DATE_TIME] [SL:DATE_TIME auf Mittwoch SL:DATE_TIME] IN:UPDATE_REMINDER_DATE_TIME]
Erinner mich daran , die Arztpraxis anzurufen , wenn sie nach Mittag um 13 Uhr öffnet .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED mich SL:PERSON_REMINDED] [SL:TODO [IN:CREATE_CALL [SL:CONTACT Arztpraxis SL:CONTACT] IN:CREATE_CALL] SL:TODO] [SL:DATE_TIME um 13 Uhr SL:DATE_TIME] IN:CREATE_REMINDER]
Welche Erinnerungen habe ich am Freitag ?	[IN:GET_REMINDER [SL:PERSON_REMINDED ich SL:PERSON_REMINDED] [SL:DATE_TIME am Freitag SL:DATE_TIME] IN:GET_REMINDER]
Lösch die Erinnerung , den Telefonnachrichtendienst anzurufen .	[IN:DELETE_REMINDER [SL:TODO [IN:CREATE_CALL [SL:CONTACT Telefonnachrichtendienst SL:CONTACT] IN:CREATE_CALL] SL:TODO] IN:DELETE_REMINDER]
Füge eine Erinnerung für nächsten Samstag für die Babyparty von Janice hinzu	[IN:CREATE_REMINDER [SL:DATE_TIME für nächsten Samstag SL:DATE_TIME] [SL:TODO Babyparty von Janice SL:TODO] IN:CREATE_REMINDER]
ERINNER MICH UM 16 : 30 UHR DARAN , DEN BACKOFEN VORZUHEIZEN .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED MICH SL:PERSON_REMINDED] [SL:TODO BACKOFEN VORZUHEIZEN SL:TODO] [SL:DATE_TIME UM 16 : 30 UHR SL:DATE_TIME] IN:CREATE_REMINDER]
Erinnere mich daran , dass ich heute Abend um 19 : 00 Uhr die Wäsche machen muss .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED mich SL:PERSON_REMINDED] [SL:TODO Wäsche machen SL:TODO] [SL:DATE_TIME heute Abend um 19 : 00 Uhr SL:DATE_TIME] IN:CREATE_REMINDER]
Lösche meine Erinnerung für die Wäsche heute Abend .	[IN:DELETE_REMINDER [SL:PERSON_REMINDED meine SL:PERSON_REMINDED] [SL:TODO Wäsche SL:TODO] [SL:DATE_TIME heute Abend SL:DATE_TIME] IN:DELETE_REMINDER]
Lösche meine Meeting - Erinnerung für heute	[IN:DELETE_REMINDER [SL:PERSON_REMINDED meine SL:PERSON_REMINDED] [SL:TODO Meeting SL:TODO] [SL:DATE_TIME für heute SL:DATE_TIME] IN:DELETE_REMINDER]
Erinner mich daran , einen Hähnchen - Dip für die Watch - Party morgen zu machen .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED mich SL:PERSON_REMINDED] [SL:TODO Hähnchen - Dip für die Watch - Party zu machen SL:TODO] [SL:DATE_TIME morgen SL:DATE_TIME] IN:CREATE_REMINDER]
Erinner mich am 1 . August daran , die Zeitung zu kündigen .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED mich SL:PERSON_REMINDED] [SL:TODO Zeitung zu kündigen SL:TODO] [SL:DATE_TIME am 1 . August SL:DATE_TIME] IN:CREATE_REMINDER]
Erinner mich am Samstagabend , dass Sophia kein Vanilleeis mag .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED mich SL:PERSON_REMINDED] [SL:TODO Sophia kein Vanilleeis mag SL:TODO] [SL:DATE_TIME am Samstagabend SL:DATE_TIME] IN:CREATE_REMINDER]
Richte eine Erinnerung an die Verabredung zum Mittagessen für Mittwoch um 13 Uhr ein	[IN:CREATE_REMINDER [SL:TODO Verabredung zum Mittagessen SL:TODO] [SL:DATE_TIME für Mittwoch um 13 Uhr SL:DATE_TIME] IN:CREATE_REMINDER]
Ändere die Erinnerung , einen Vanillekuchen am Samstag zu backen , auf Schokoladenkuchen backen .	[IN:UPDATE_REMINDER_TODO [SL:TODO einen Vanillekuchen zu backen SL:TODO] [SL:DATE_TIME am Samstag SL:DATE_TIME] [SL:TODO Schokoladenkuchen backen SL:TODO] IN:UPDATE_REMINDER_TODO]
Sag mir morgen um 12 Uhr mittags , dass ich mit dem Brot anfangen soll	[IN:CREATE_REMINDER [SL:PERSON_REMINDED mir SL:PERSON_REMINDED] [SL:TODO mit dem Brot anfangen SL:TODO] [SL:DATE_TIME morgen um 12 Uhr mittags SL:DATE_TIME] IN:CREATE_REMINDER]
Erinnere mich morgen daran , einen Zahnarzttermin zu machen	[IN:CREATE_REMINDER [SL:PERSON_REMINDED mich SL:PERSON_REMINDED] [SL:DATE_TIME morgen SL:DATE_TIME] [SL:TODO einen Zahnarzttermin zu machen SL:TODO] IN:CREATE_REMINDER]
Erinner mich an Nikos Kunstmesse am Dienstag um 14 Uhr .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED mich SL:PERSON_REMINDED] [SL:TODO Nikos Kunstmesse SL:TODO] [SL:DATE_TIME am Dienstag um 14 Uhr SL:DATE_TIME] IN:CREATE_REMINDER]
Sag mir , wann die Sonne untergeht .	[IN:GET_SUNSET  IN:GET_SUNSET]
Zeig mir Artikel über Russen	[IN:GET_STORIES_NEWS [SL:NEWS_TYPE Artikel SL:NEWS_TYPE] [SL:NEWS_TOPIC Russen SL:NEWS_TOPIC] IN:GET_STORIES_NEWS]
Leite den Anruf von Spectrum an die Voicemail weiter .	[IN:IGNORE_CALL [SL:CONTACT Spectrum SL:CONTACT] IN:IGNORE_CALL]
Nimm den Anruf von Lois nicht entgegen	[IN:IGNORE_CALL [SL:CONTACT Lois SL:CONTACT] IN:IGNORE_CALL]
Starte einen Videoanruf mit Joe	[IN:CREATE_CALL [SL:CONTACT Joe SL:CONTACT] IN:CREATE_CALL]
Diesen Anruf sofort annehmen	[IN:ANSWER_CALL  IN:ANSWER_CALL]
Bitte nimm heute Abend keine Anrufe an .	[IN:IGNORE_CALL [SL:DATE_TIME heute Abend SL:DATE_TIME] IN:IGNORE_CALL]
Ignorier Anrufe von meinem Vater	[IN:IGNORE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED meinem SL:CONTACT_RELATED]     [SL:TYPE_RELATION Vater SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:IGNORE_CALL]
Ruf Wilkerson an .	[IN:CREATE_CALL [SL:CONTACT Wilkerson SL:CONTACT] IN:CREATE_CALL]
Starte einen Videoanruf mit meiner Frau .	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED meiner SL:CONTACT_RELATED]     [SL:TYPE_RELATION Frau SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Füge Curtis zu diesem Gespräch hinzu .	[IN:UPDATE_CALL [SL:CONTACT_ADDED Curtis SL:CONTACT_ADDED] IN:UPDATE_CALL]
Videoanruf mit Jenn , jetzt bitte	[IN:CREATE_CALL [SL:CONTACT Jenn SL:CONTACT] IN:CREATE_CALL]
Beende den Anruf von Sally	[IN:END_CALL [SL:CONTACT Sally SL:CONTACT] IN:END_CALL]
Nimm den Anruf meines Bruders entgegen	[IN:ANSWER_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED meines SL:CONTACT_RELATED]     [SL:TYPE_RELATION Bruders SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:ANSWER_CALL]
Beantworte sofort alle Anrufe von Scott	[IN:ANSWER_CALL [SL:CONTACT Scott SL:CONTACT] IN:ANSWER_CALL]
Ignorier alle Anrufe von Beckam .	[IN:IGNORE_CALL [SL:CONTACT Beckam SL:CONTACT] IN:IGNORE_CALL]
Ignorier Anrufe vom Zeitungsbüro .	[IN:IGNORE_CALL [SL:CONTACT Zeitungsbüro SL:CONTACT] IN:IGNORE_CALL]
Wer ruft gerade an ?	[IN:GET_CALL_CONTACT  IN:GET_CALL_CONTACT]
Ignoriere den Anruf von Joyce .	[IN:IGNORE_CALL [SL:CONTACT Joyce SL:CONTACT] IN:IGNORE_CALL]
Nimm den Anruf von Bryce an	[IN:ANSWER_CALL [SL:CONTACT Bryce SL:CONTACT] IN:ANSWER_CALL]
Wer hat mich heute Mittag angerufen ?	[IN:GET_CALL_CONTACT [SL:DATE_TIME heute Mittag SL:DATE_TIME] IN:GET_CALL_CONTACT]
Beende den Anruf beim Krankenhaus bezüglich des OP - Plans .	[IN:END_CALL [SL:CONTACT Krankenhaus SL:CONTACT] IN:END_CALL]
Geh nicht ans Telefon , wenn Frank anruft .	[IN:IGNORE_CALL [SL:CONTACT Frank SL:CONTACT] IN:IGNORE_CALL]
Füge Roxy und Sarah diesem Anruf hinzu	[IN:UPDATE_CALL [SL:CONTACT_ADDED Roxy SL:CONTACT_ADDED] [SL:CONTACT_ADDED Sarah SL:CONTACT_ADDED] IN:UPDATE_CALL]
Gruppenanruf mit Mark und Melissa starten	[IN:CREATE_CALL [SL:CONTACT Mark SL:CONTACT] [SL:CONTACT Melissa SL:CONTACT] IN:CREATE_CALL]
Leite alle Anrufe von Ben an die Mailbox weiter .	[IN:IGNORE_CALL [SL:CONTACT Ben SL:CONTACT] IN:IGNORE_CALL]
Füge Adrian zum Videoanruf hinzu	[IN:UPDATE_CALL [SL:CONTACT_ADDED Adrian SL:CONTACT_ADDED] IN:UPDATE_CALL]
Musikwiederholung aktivieren	[IN:REPEAT_ALL_MUSIC  IN:REPEAT_ALL_MUSIC]
Ich möchte die Lyrics für den gerade laufenden Song haben	[IN:GET_LYRICS_MUSIC [SL:MUSIC_TYPE Song SL:MUSIC_TYPE] IN:GET_LYRICS_MUSIC]
Spiel Spotify	[IN:PLAY_MUSIC [SL:MUSIC_PROVIDER_NAME Spotify SL:MUSIC_PROVIDER_NAME] IN:PLAY_MUSIC]
Bitte spiele den Titel , der vor diesem lief	[IN:PREVIOUS_TRACK_MUSIC [SL:MUSIC_TYPE Titel SL:MUSIC_TYPE] IN:PREVIOUS_TRACK_MUSIC]
Bitte stell den Timer auf 12 Jahre .	[IN:CREATE_TIMER [SL:METHOD_TIMER Timer SL:METHOD_TIMER] [SL:DATE_TIME auf 12 Jahre SL:DATE_TIME] IN:CREATE_TIMER]
Dinge , die man heute in Venice Beach machen kann	[IN:GET_EVENT [SL:LOCATION Venice Beach SL:LOCATION] [SL:DATE_TIME heute SL:DATE_TIME] IN:GET_EVENT]
Was ist heute Abend in Kansas City los ?	[IN:GET_EVENT [SL:LOCATION Kansas City SL:LOCATION] [SL:DATE_TIME heute Abend SL:DATE_TIME] IN:GET_EVENT]
Kann man heute Abend in Bay Ridge irgendetwas unternehmen ?	[IN:GET_EVENT [SL:LOCATION Bay Ridge SL:LOCATION] [SL:DATE_TIME heute Abend SL:DATE_TIME] IN:GET_EVENT]
Dinge , die man heute Abend in Sanibel unternehmen kann	[IN:GET_EVENT [SL:LOCATION Sanibel SL:LOCATION] [SL:DATE_TIME heute Abend SL:DATE_TIME] IN:GET_EVENT]
Veranstaltungen in Texas	[IN:GET_EVENT [SL:LOCATION Texas SL:LOCATION] IN:GET_EVENT]
Live - Musik morgen in Kalamazoo	[IN:GET_EVENT [SL:CATEGORY_EVENT Live - Musik SL:CATEGORY_EVENT] [SL:DATE_TIME morgen SL:DATE_TIME] [SL:LOCATION Kalamazoo SL:LOCATION] IN:GET_EVENT]
Findet an diesem Wochenende irgendwas Gutes in Hattiesburg statt ?	[IN:GET_EVENT [SL:LOCATION Hattiesburg SL:LOCATION] [SL:DATE_TIME an diesem Wochenende SL:DATE_TIME] IN:GET_EVENT]
Was ist am letzten Dezemberwochenende in Detroit los ?	[IN:GET_EVENT [SL:DATE_TIME am letzten Dezemberwochenende SL:DATE_TIME] [SL:LOCATION Detroit SL:LOCATION] IN:GET_EVENT]
Was ist heute Abend um 22 Uhr in Boston los ?	[IN:GET_EVENT [SL:DATE_TIME heute Abend SL:DATE_TIME] [SL:LOCATION Boston SL:LOCATION] [SL:DATE_TIME um 22 Uhr SL:DATE_TIME] IN:GET_EVENT]
Was kann man in Maui machen ?	[IN:GET_EVENT [SL:LOCATION Maui SL:LOCATION] IN:GET_EVENT]
Comedy - Shows in Vegas nächste Woche	[IN:GET_EVENT [SL:CATEGORY_EVENT Comedy - Shows SL:CATEGORY_EVENT] [SL:LOCATION Vegas SL:LOCATION] [SL:DATE_TIME nächste Woche SL:DATE_TIME] IN:GET_EVENT]
Zeig mir alle Konzerte für nächstes Wochenende in Grand Prairie	[IN:GET_EVENT [SL:CATEGORY_EVENT Konzerte SL:CATEGORY_EVENT] [SL:LOCATION in Grand Prairie SL:LOCATION] [SL:DATE_TIME für nächstes Wochenende SL:DATE_TIME] IN:GET_EVENT]
Veranstaltungen in Philadelphia heute	[IN:GET_EVENT [SL:LOCATION Philadelphia SL:LOCATION] [SL:DATE_TIME heute SL:DATE_TIME] IN:GET_EVENT]
Partys in Minneapolis morgen	[IN:GET_EVENT [SL:CATEGORY_EVENT Partys SL:CATEGORY_EVENT] [SL:LOCATION Minneapolis SL:LOCATION] [SL:DATE_TIME morgen SL:DATE_TIME] IN:GET_EVENT]
Die Downtown - DeLand - Events beginnen dieses Wochenende nach 22.00 Uhr .	[IN:GET_EVENT [SL:LOCATION Downtown DeLand SL:LOCATION] [SL:DATE_TIME dieses Wochenende nach 22.00 Uhr SL:DATE_TIME] IN:GET_EVENT]
Ist morgen irgendwas in Baltimore los ?	[IN:GET_EVENT [SL:LOCATION Baltimore SL:LOCATION] [SL:DATE_TIME morgen SL:DATE_TIME] IN:GET_EVENT]
Was ist das Coolste , das dieses Wochenende in Napa stattfindet ?	[IN:GET_EVENT [SL:LOCATION Napa SL:LOCATION] [SL:DATE_TIME dieses Wochenende SL:DATE_TIME] IN:GET_EVENT]
Dinge , die man in San Diego unternehmen kann	[IN:GET_EVENT [SL:LOCATION San Diego SL:LOCATION] IN:GET_EVENT]
Gibt es Events , die am Mittwoch in Albuquerque stattfinden ?	[IN:GET_EVENT [SL:DATE_TIME am Mittwoch SL:DATE_TIME] [SL:LOCATION Albuquerque SL:LOCATION] IN:GET_EVENT]
Was ist an diesem vierten Juli in Beaverton , Oregon , los ?	[IN:GET_EVENT [SL:DATE_TIME an diesem vierten Juli SL:DATE_TIME] [SL:LOCATION in Beaverton , Oregon SL:LOCATION] IN:GET_EVENT]
Was ist morgen in Keller los ?	[IN:GET_EVENT [SL:LOCATION Keller SL:LOCATION] [SL:DATE_TIME morgen SL:DATE_TIME] IN:GET_EVENT]
Dinge , die man an Silvester in Cedar Hill , TN unternehmen kann	[IN:GET_EVENT [SL:LOCATION Cedar Hill , TN SL:LOCATION] [SL:DATE_TIME an Silvester SL:DATE_TIME] IN:GET_EVENT]
FIndet heute Abend etwas in Ann Arbor statt ?	[IN:GET_EVENT [SL:LOCATION Ann Arbor SL:LOCATION] [SL:DATE_TIME heute Abend SL:DATE_TIME] IN:GET_EVENT]
Events in Silverlake heute Abend	[IN:GET_EVENT [SL:LOCATION Silverlake SL:LOCATION] [SL:DATE_TIME heute Abend SL:DATE_TIME] IN:GET_EVENT]
Was steht nächste Woche Dienstag in Baton Rouge , LA an ?	[IN:GET_EVENT [SL:LOCATION Baton Rouge , LA SL:LOCATION] [SL:DATE_TIME nächste Woche Dienstag SL:DATE_TIME] IN:GET_EVENT]
Veranstaltungen heute Abend in Jacksonville	[IN:GET_EVENT [SL:LOCATION Jacksonville SL:LOCATION] [SL:DATE_TIME heute Abend SL:DATE_TIME] IN:GET_EVENT]
Was kann man heute Abend in Portland unternehmen ?	[IN:GET_EVENT [SL:LOCATION Portland SL:LOCATION] [SL:DATE_TIME heute Abend SL:DATE_TIME] IN:GET_EVENT]
Steht dieses Wochenende in San Francisco irgendetwas an ?	[IN:GET_EVENT [SL:LOCATION San Francisco SL:LOCATION] [SL:DATE_TIME dieses Wochenende SL:DATE_TIME] IN:GET_EVENT]
Was kann man nächste Woche in Seattle unternehmen ?	[IN:GET_EVENT [SL:LOCATION Seattle SL:LOCATION] [SL:DATE_TIME nächste Woche SL:DATE_TIME] IN:GET_EVENT]
Dinge , die man in Chicago am 7 . Dezember machen kann	[IN:GET_EVENT [SL:LOCATION Chicago SL:LOCATION] [SL:DATE_TIME am 7 . Dezember SL:DATE_TIME] IN:GET_EVENT]
Gibt es am kommenden Wochenende irgendwelche besonderen Events in Daytona Beach ?	[IN:GET_EVENT [SL:LOCATION Daytona Beach SL:LOCATION] [SL:DATE_TIME am kommenden Wochenende SL:DATE_TIME] IN:GET_EVENT]
Läuft dieses Wochenende in Waikiki irgendwas Cooles ?	[IN:GET_EVENT [SL:DATE_TIME dieses Wochenende SL:DATE_TIME] [SL:LOCATION Waikiki SL:LOCATION] IN:GET_EVENT]
Was ist heute Abend in Las Vegas los ?	[IN:GET_EVENT [SL:LOCATION Las Vegas SL:LOCATION] [SL:DATE_TIME heute Abend SL:DATE_TIME] IN:GET_EVENT]
Musikkonzerte , die diese Woche in Ann Arbor stattfinden	[IN:GET_EVENT [SL:CATEGORY_EVENT Musikkonzerte SL:CATEGORY_EVENT] [SL:LOCATION Ann Arbor SL:LOCATION] [SL:DATE_TIME diese Woche SL:DATE_TIME] IN:GET_EVENT]
Was läuft heute Abend in Baltimore ?	[IN:GET_EVENT [SL:LOCATION Baltimore SL:LOCATION] [SL:DATE_TIME heute Abend SL:DATE_TIME] IN:GET_EVENT]
Was ist im März in Colorado los ?	[IN:GET_EVENT [SL:LOCATION Colorado SL:LOCATION] [SL:DATE_TIME im März SL:DATE_TIME] IN:GET_EVENT]
Veranstaltungen in Waco	[IN:GET_EVENT [SL:LOCATION Waco SL:LOCATION] IN:GET_EVENT]
Was ist dieses Wochenende in Eugene los ?	[IN:GET_EVENT [SL:LOCATION Eugene SL:LOCATION] [SL:DATE_TIME dieses Wochenende SL:DATE_TIME] IN:GET_EVENT]
