llamar a Irene Powell	[IN:CREATE_CALL [SL:CONTACT Irene Powell SL:CONTACT] IN:CREATE_CALL]
¿ Cosas para hacer en Houston el viernes ?	[IN:GET_EVENT [SL:LOCATION Houston SL:LOCATION] [SL:DATE_TIME viernes SL:DATE_TIME] IN:GET_EVENT]
¿ Qué se puede hacer hoy en la ciudad de Nueva York ?	[IN:GET_EVENT [SL:LOCATION Nueva York SL:LOCATION] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_EVENT]
¿ Qué eventos divertidos habrá en Tampa el fin de semana siguiente ?	[IN:GET_EVENT [SL:LOCATION Tampa SL:LOCATION] [SL:DATE_TIME fin de semana siguiente SL:DATE_TIME] IN:GET_EVENT]
Necesito algo divertido para hacer esta noche .	[IN:GET_EVENT [SL:DATE_TIME esta noche SL:DATE_TIME] IN:GET_EVENT]
Eventos de mañana	[IN:GET_EVENT [SL:DATE_TIME mañana SL:DATE_TIME] IN:GET_EVENT]
¿ Hay algo interesante que hacer esta semana ?	[IN:GET_EVENT [SL:DATE_TIME esta semana SL:DATE_TIME] IN:GET_EVENT]
Cosas para hacer en Boston el próximo fin de semana .	[IN:GET_EVENT [SL:LOCATION Boston SL:LOCATION] [SL:DATE_TIME próximo fin de semana SL:DATE_TIME] IN:GET_EVENT]
¿ Hay algún festival de arte este fin de semana ?	[IN:GET_EVENT [SL:CATEGORY_EVENT festival de arte SL:CATEGORY_EVENT] [SL:DATE_TIME este fin de semana SL:DATE_TIME] IN:GET_EVENT]
Todos los exhibiciones de barcos este fin de semana .	[IN:GET_EVENT [SL:CATEGORY_EVENT exhibiciones de barcos SL:CATEGORY_EVENT] [SL:DATE_TIME este fin de semana SL:DATE_TIME] IN:GET_EVENT]
Actividades de año nuevo .	[IN:GET_EVENT [SL:DATE_TIME de año nuevo SL:DATE_TIME] [SL:CATEGORY_EVENT Actividades SL:CATEGORY_EVENT] IN:GET_EVENT]
Eventos que se llevarán a cabo esta semana .	[IN:GET_EVENT [SL:DATE_TIME esta semana SL:DATE_TIME] IN:GET_EVENT]
Cosas para hacer en Filadelfia el próximo fin de semana .	[IN:GET_EVENT [SL:LOCATION Filadelfia SL:LOCATION] [SL:DATE_TIME próximo fin de semana SL:DATE_TIME] IN:GET_EVENT]
¿ Qué pasa en el centro de Kissimmee ?	[IN:GET_EVENT [SL:LOCATION centro de Kissimmee SL:LOCATION] IN:GET_EVENT]
Conciertos en Raleigh este fin de semana .	[IN:GET_EVENT [SL:CATEGORY_EVENT Conciertos SL:CATEGORY_EVENT] [SL:LOCATION Raleigh SL:LOCATION] [SL:DATE_TIME este fin de semana SL:DATE_TIME] IN:GET_EVENT]
¿ Dónde puedo divertirme a la mañana ?	[IN:GET_EVENT [SL:DATE_TIME a la mañana SL:DATE_TIME] IN:GET_EVENT]
Eventos musicales en Hemet .	[IN:GET_EVENT [SL:CATEGORY_EVENT musicales SL:CATEGORY_EVENT] [SL:LOCATION Hemet SL:LOCATION] IN:GET_EVENT]
Cosas para hacer en Greeneville , SC .	[IN:GET_EVENT [SL:LOCATION Greeneville , SC SL:LOCATION] IN:GET_EVENT]
Cualquier concierto el viernes en Orlando .	[IN:GET_EVENT [SL:CATEGORY_EVENT concierto SL:CATEGORY_EVENT] [SL:DATE_TIME viernes SL:DATE_TIME] [SL:LOCATION Orlando SL:LOCATION] IN:GET_EVENT]
¿ Qué está pasando en Houston ?	[IN:GET_EVENT [SL:LOCATION Houston SL:LOCATION] IN:GET_EVENT]
¿ Hay algo genial para hacer en Hardy hoy de noche ?	[IN:GET_EVENT [SL:LOCATION Hardy SL:LOCATION] [SL:DATE_TIME hoy de noche SL:DATE_TIME] IN:GET_EVENT]
¿ Qué está pasando en Los Ángeles hoy ?	[IN:GET_EVENT [SL:LOCATION Los Ángeles SL:LOCATION] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_EVENT]
¿ Qué hay para hacer en Los Ángeles esta noche ?	[IN:GET_EVENT [SL:LOCATION Los Ángeles SL:LOCATION] [SL:DATE_TIME esta noche SL:DATE_TIME] IN:GET_EVENT]
Muéstra me los conciertos en Fresno este fin de semana .	[IN:GET_EVENT [SL:CATEGORY_EVENT conciertos SL:CATEGORY_EVENT] [SL:LOCATION Fresno SL:LOCATION] [SL:DATE_TIME este fin de semana SL:DATE_TIME] IN:GET_EVENT]
¿ Cuáles son algunos de los eventos en Chicago ?	[IN:GET_EVENT [SL:LOCATION Chicago SL:LOCATION] IN:GET_EVENT]
Eventos deportivos en San Agustín este fin de semana .	[IN:GET_EVENT [SL:CATEGORY_EVENT deportivos SL:CATEGORY_EVENT] [SL:LOCATION San Agustín SL:LOCATION] [SL:DATE_TIME este fin de semana SL:DATE_TIME] IN:GET_EVENT]
Eventos para hacer en Raleigh .	[IN:GET_EVENT [SL:LOCATION Raleigh SL:LOCATION] IN:GET_EVENT]
¿ Qué se puede hacer en South Texas la semana que viene ?	[IN:GET_EVENT [SL:LOCATION South Texas SL:LOCATION] [SL:DATE_TIME semana que viene SL:DATE_TIME] IN:GET_EVENT]
¿ Qué pasa esta noche ?	[IN:GET_EVENT [SL:DATE_TIME esta noche SL:DATE_TIME] IN:GET_EVENT]
Eventos en Minneapolis esta noche	[IN:GET_EVENT [SL:LOCATION Minneapolis SL:LOCATION] [SL:DATE_TIME esta noche SL:DATE_TIME] IN:GET_EVENT]
Qué hay para hacer en San Diego esta noche .	[IN:GET_EVENT [SL:LOCATION San Diego SL:LOCATION] [SL:DATE_TIME esta noche SL:DATE_TIME] IN:GET_EVENT]
¿ Qué eventos deportivos se llevarán a cabo en Charlotte este fin de semana ?	[IN:GET_EVENT [SL:CATEGORY_EVENT deportivos SL:CATEGORY_EVENT] [SL:DATE_TIME este fin de semana SL:DATE_TIME] [SL:LOCATION Charlotte SL:LOCATION] IN:GET_EVENT]
Muéstra me cosas para hacer en Andover el próximo fin de semana .	[IN:GET_EVENT [SL:LOCATION Andover SL:LOCATION] [SL:DATE_TIME próximo fin de semana SL:DATE_TIME] IN:GET_EVENT]
¿ Hay eventos deportivos este mes en Los Ángeles ?	[IN:GET_EVENT [SL:CATEGORY_EVENT eventos deportivos SL:CATEGORY_EVENT] [SL:DATE_TIME este mes SL:DATE_TIME] [SL:LOCATION Los Ángeles SL:LOCATION] IN:GET_EVENT]
Comedias esta semana .	[IN:GET_EVENT [SL:CATEGORY_EVENT Comedias SL:CATEGORY_EVENT] [SL:DATE_TIME esta semana SL:DATE_TIME] IN:GET_EVENT]
¿ Algún evento interesante que ocurra el próximo fin de semana ?	[IN:GET_EVENT [SL:DATE_TIME próximo fin de semana SL:DATE_TIME] IN:GET_EVENT]
¿ Qué festivales y eventos hay en Lorain el próximo fin de semana ?	[IN:GET_EVENT [SL:LOCATION Lorain SL:LOCATION] [SL:DATE_TIME próximo fin de semana SL:DATE_TIME] IN:GET_EVENT]
¿ Hay algo para hacer en Portland esta noche ?	[IN:GET_EVENT [SL:LOCATION Portland SL:LOCATION] [SL:DATE_TIME esta noche SL:DATE_TIME] IN:GET_EVENT]
Recorridos a pie en Nueva Orleans .	[IN:GET_EVENT [SL:CATEGORY_EVENT Recorridos a pie SL:CATEGORY_EVENT] [SL:LOCATION Nueva Orleans SL:LOCATION] IN:GET_EVENT]
¿ Algo para hacer en Nueva York el sábado ?	[IN:GET_EVENT [SL:LOCATION Nueva York SL:LOCATION] [SL:DATE_TIME sábado SL:DATE_TIME] IN:GET_EVENT]
¿ Algo para hacer mañana en Braintree ?	[IN:GET_EVENT [SL:DATE_TIME mañana SL:DATE_TIME] [SL:LOCATION Braintree SL:LOCATION] IN:GET_EVENT]
Cosas divertidas para hacer en Cleveland más adelante este mes	[IN:GET_EVENT [SL:LOCATION Cleveland SL:LOCATION] [SL:DATE_TIME más adelante este mes SL:DATE_TIME] IN:GET_EVENT]
Buen momento para visitar Savannah .	[IN:GET_EVENT [SL:LOCATION Savannah SL:LOCATION] IN:GET_EVENT]
¿ Hay algún concierto en Nueva York hoy ?	[IN:GET_EVENT [SL:CATEGORY_EVENT concierto SL:CATEGORY_EVENT] [SL:LOCATION Nueva York SL:LOCATION] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_EVENT]
¿ Qué se podrá hacer este fin de semana ?	[IN:GET_EVENT [SL:DATE_TIME este fin de semana SL:DATE_TIME] IN:GET_EVENT]
¿ Algo para hacer el fin de semana próximo ?	[IN:GET_EVENT [SL:DATE_TIME fin de semana próximo SL:DATE_TIME] IN:GET_EVENT]
¿ De qué me perdí ayer ?	[IN:GET_EVENT [SL:DATE_TIME ayer SL:DATE_TIME] IN:GET_EVENT]
¿ Qué hay que hacer mañana ?	[IN:GET_EVENT [SL:DATE_TIME mañana SL:DATE_TIME] IN:GET_EVENT]
Necesito algo para hacer mañana por la noche .	[IN:GET_EVENT [SL:DATE_TIME mañana por la noche SL:DATE_TIME] IN:GET_EVENT]
Eventos locales este fin de semana .	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT locales SL:ATTRIBUTE_EVENT] [SL:DATE_TIME este fin de semana SL:DATE_TIME] IN:GET_EVENT]
¿ Qué va a pasar esta noche ?	[IN:GET_EVENT [SL:DATE_TIME esta noche SL:DATE_TIME] IN:GET_EVENT]
¿ Habrá algún evento en Navidad ?	[IN:GET_EVENT [SL:DATE_TIME en Navidad SL:DATE_TIME] IN:GET_EVENT]
¿ Algún concierto en directo el próximo martes ?	[IN:GET_EVENT [SL:CATEGORY_EVENT concierto en directo SL:CATEGORY_EVENT] [SL:DATE_TIME próximo martes SL:DATE_TIME] IN:GET_EVENT]
¿ Qué eventos hay este mes ?	[IN:GET_EVENT [SL:DATE_TIME este mes SL:DATE_TIME] IN:GET_EVENT]
Agenda de eventos .	[IN:GET_EVENT  IN:GET_EVENT]
¿ Qué tipo de eventos hay este fin de semana ?	[IN:GET_EVENT [SL:DATE_TIME este fin de semana SL:DATE_TIME] IN:GET_EVENT]
¿ Hay algo para hacer la próxima semana ?	[IN:GET_EVENT [SL:DATE_TIME próxima semana SL:DATE_TIME] IN:GET_EVENT]
¿ Qué conciertos habrá en febrero ?	[IN:GET_EVENT [SL:CATEGORY_EVENT conciertos SL:CATEGORY_EVENT] [SL:DATE_TIME en febrero SL:DATE_TIME] IN:GET_EVENT]
Eventos de música en vivo	[IN:GET_EVENT [SL:CATEGORY_EVENT música en vivo SL:CATEGORY_EVENT] IN:GET_EVENT]
¿ Algo divertido para hacer mañana ?	[IN:GET_EVENT [SL:DATE_TIME mañana SL:DATE_TIME] IN:GET_EVENT]
Próximas exposiciones de auto .	[IN:GET_EVENT [SL:CATEGORY_EVENT exposiciones de auto SL:CATEGORY_EVENT] [SL:DATE_TIME Próximas SL:DATE_TIME] IN:GET_EVENT]
Conciertos el domingo .	[IN:GET_EVENT [SL:CATEGORY_EVENT Conciertos SL:CATEGORY_EVENT] [SL:DATE_TIME domingo SL:DATE_TIME] IN:GET_EVENT]
¿ Cuáles son los eventos de mañana ?	[IN:GET_EVENT [SL:DATE_TIME de mañana SL:DATE_TIME] IN:GET_EVENT]
¿ A qué hora comienza el concierto de hoy ?	[IN:GET_DATE_TIME_EVENT [SL:DATE_TIME de hoy SL:DATE_TIME] [SL:CATEGORY_EVENT concierto SL:CATEGORY_EVENT] IN:GET_DATE_TIME_EVENT]
¿ Hay algún evento musical hoy ?	[IN:GET_EVENT [SL:CATEGORY_EVENT musical SL:CATEGORY_EVENT] [SL:DATE_TIME hoy SL:DATE_TIME] IN:GET_EVENT]
Cancela mi recordatorio para practicar clarinete .	[IN:DELETE_REMINDER [SL:PERSON_REMINDED mi SL:PERSON_REMINDED] [SL:TODO practicar clarinete SL:TODO] IN:DELETE_REMINDER]
Elimina el recordatorio para arreglar la secadora .	[IN:DELETE_REMINDER [SL:TODO arreglar la secadora SL:TODO] IN:DELETE_REMINDER]
Recuérda me ir a casa para realizar trabajos de reparación .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO   [IN:GET_TODO     [SL:TODO ir SL:TODO]     [SL:LOCATION [IN:GET_LOCATION  IN:GET_LOCATION] SL:LOCATION]     [SL:TODO para realizar trabajos de reparación SL:TODO] IN:GET_TODO] SL:TODO] IN:CREATE_REMINDER]
Recuérda me lavar los platos esta noche .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO lavar los platos SL:TODO] [SL:DATE_TIME esta noche SL:DATE_TIME] IN:CREATE_REMINDER]
Recuérda me que debo comprar una correa para mi perro .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO comprar una correa para mi perro SL:TODO] IN:CREATE_REMINDER]
Recuérda me que debo pedir pantalones .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO pedir pantalones SL:TODO] IN:CREATE_REMINDER]
Recuérda me que saque la basura .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO saque la basura SL:TODO] IN:CREATE_REMINDER]
Recuérda me que apague la cocina .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO apague la cocina SL:TODO] IN:CREATE_REMINDER]
Programa un recordatorio sobre el vuelo de mi esposa que llega a la tarde .	[IN:CREATE_REMINDER [SL:TODO vuelo de mi esposa que llega SL:TODO] [SL:DATE_TIME a la tarde SL:DATE_TIME] IN:CREATE_REMINDER]
Quita el recordatorio sobre recoger mi paquete , lo trajeron a mi puerta .	[IN:DELETE_REMINDER [SL:TODO recoger mi paquete SL:TODO] IN:DELETE_REMINDER]
Cancela mi recordatorio sobre la conferencia .	[IN:DELETE_REMINDER [SL:PERSON_REMINDED mi SL:PERSON_REMINDED] [SL:TODO conferencia SL:TODO] IN:DELETE_REMINDER]
Recuérda me sacar a pasear al perro .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO sacar a pasear al perro SL:TODO] IN:CREATE_REMINDER]
Recuérda me llamar a mi padre .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO   [IN:CREATE_CALL     [SL:CONTACT [IN:GET_CONTACT [SL:TYPE_RELATION padre SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL] SL:TODO] IN:CREATE_REMINDER]
Elimina los recordatorios de viernes a domingo para esta semana .	[IN:DELETE_REMINDER [SL:DATE_TIME de viernes a domingo para esta semana SL:DATE_TIME] IN:DELETE_REMINDER]
El recordatorio de la película sobre extraterrestres debe sonar hoy a las 19 : 30 .	[IN:CREATE_REMINDER [SL:TODO película sobre extraterrestres SL:TODO] [SL:DATE_TIME hoy a las 19 : 30 SL:DATE_TIME] IN:CREATE_REMINDER]
Modifica el recordatorio para la próxima grabación .	[IN:UPDATE_REMINDER [SL:TODO próxima grabación SL:TODO] IN:UPDATE_REMINDER]
Recuérda me que debo llevar a Josh a la práctica de fútbol mañana a la tarde .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO llevar a Josh a la práctica de fútbol SL:TODO] [SL:DATE_TIME mañana a la tarde SL:DATE_TIME] IN:CREATE_REMINDER]
Agrega un recordatorio para transferir dinero a la cuenta corriente el primer día del mes .	[IN:CREATE_REMINDER [SL:TODO transferir dinero a la cuenta corriente SL:TODO] [SL:DATE_TIME primer día del mes SL:DATE_TIME] IN:CREATE_REMINDER]
Programa un recordatorio a las 22 : 00 para ir a dormir .	[IN:CREATE_REMINDER [SL:DATE_TIME a las 22 : 00 SL:DATE_TIME] [SL:TODO para ir a dormir SL:TODO] IN:CREATE_REMINDER]
Programa un recordatorio para hacer la llamada .	[IN:CREATE_REMINDER [SL:TODO [IN:CREATE_CALL  IN:CREATE_CALL] SL:TODO] IN:CREATE_REMINDER]
Recuérda me que le cambie el aceite al auto .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO le cambie el aceite al auto SL:TODO] IN:CREATE_REMINDER]
Recuérda me llevar el carro para que le cambien el aceite el viernes a las 11 : 30 .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO llevar el carro para que le cambien el aceite SL:TODO] [SL:DATE_TIME viernes a las 11 : 30 SL:DATE_TIME] IN:CREATE_REMINDER]
Recuérda me que tengo una teleconferencia mañana a las 10 : 00 .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO tengo una teleconferencia SL:TODO] [SL:DATE_TIME mañana a las 10 : 00 SL:DATE_TIME] IN:CREATE_REMINDER]
Recuérda me llamar al doctor mañana .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO [IN:CREATE_CALL [SL:CONTACT al doctor SL:CONTACT] IN:CREATE_CALL] SL:TODO] [SL:DATE_TIME mañana SL:DATE_TIME] IN:CREATE_REMINDER]
Cambia la hora / fecha de un recordatorio que ya se ha registrado .	[IN:UPDATE_REMINDER  IN:UPDATE_REMINDER]
Recuérda me en una hora llamar a mamá .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:DATE_TIME en una hora SL:DATE_TIME] [SL:TODO   [IN:CREATE_CALL     [SL:CONTACT [IN:GET_CONTACT [SL:TYPE_RELATION mamá SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL] SL:TODO] IN:CREATE_REMINDER]
Recuérda me que debo cepillarme los dientes antes de irme a dormir .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO cepillarme los dientes antes de irme a dormir SL:TODO] IN:CREATE_REMINDER]
Recuérda me pasar a buscar a mi hija por la práctica de fútbol a las 19 : 00 .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO buscar a mi hija por la práctica de fútbol SL:TODO] [SL:DATE_TIME a las 19 : 00 SL:DATE_TIME] IN:CREATE_REMINDER]
Recuérda me que reprograme la cena cuando llegue al trabajo .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO reprograme la cena SL:TODO] [SL:LOCATION [IN:GET_LOCATION  IN:GET_LOCATION] SL:LOCATION] IN:CREATE_REMINDER]
Borra el recordatorio sobre ir al oculista mañana .	[IN:DELETE_REMINDER [SL:TODO ir al oculista SL:TODO] [SL:DATE_TIME mañana SL:DATE_TIME] IN:DELETE_REMINDER]
Recuérda me pasar a buscar las entradas para el recital hoy a las 17 .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO buscar las entradas para el recital SL:TODO] [SL:DATE_TIME hoy a las 17 SL:DATE_TIME] IN:CREATE_REMINDER]
Recuérda me que tengo que llamar a mi mamá esta noche .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO   [IN:CREATE_CALL     [SL:CONTACT [IN:GET_CONTACT [SL:TYPE_RELATION mamá SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL] SL:TODO] [SL:DATE_TIME esta noche SL:DATE_TIME] IN:CREATE_REMINDER]
Añade " compra huevos " al recordatorio .	[IN:UPDATE_REMINDER_TODO [SL:TODO compra huevos SL:TODO] IN:UPDATE_REMINDER_TODO]
Recuérda me conseguir verduras congeladas de camino a casa desde el trabajo .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO conseguir verduras congeladas SL:TODO] [SL:LOCATION [IN:GET_LOCATION  IN:GET_LOCATION] SL:LOCATION] [SL:LOCATION [IN:GET_LOCATION  IN:GET_LOCATION] SL:LOCATION] IN:CREATE_REMINDER]
Recuérda me que llame a mi padre esta noche .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO   [IN:CREATE_CALL     [SL:CONTACT       [IN:GET_CONTACT         [SL:CONTACT_RELATED mi SL:CONTACT_RELATED]         [SL:TYPE_RELATION padre SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL] SL:TODO] [SL:DATE_TIME esta noche SL:DATE_TIME] IN:CREATE_REMINDER]
Recuérda me ponerle aceite al auto a las 8.00 mañana .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO ponerle aceite al auto SL:TODO] [SL:DATE_TIME a las 8.00 mañana SL:DATE_TIME] IN:CREATE_REMINDER]
Recuérda me llamar al autobús del trabajo por actualizaciones de transporte .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO   [IN:GET_TODO     [SL:TODO [IN:CREATE_CALL [SL:CONTACT al autobús del trabajo SL:CONTACT] IN:CREATE_CALL] SL:TODO]     [SL:TODO actualizaciones de transporte SL:TODO] IN:GET_TODO] SL:TODO] IN:CREATE_REMINDER]
Recuérda me que debo agregar agua embotellada a la lista de compras .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO agregar agua embotellada a la lista de compras SL:TODO] IN:CREATE_REMINDER]
Cancela el recordatorio de llamar al dentista .	[IN:DELETE_REMINDER [SL:TODO [IN:CREATE_CALL [SL:CONTACT dentista SL:CONTACT] IN:CREATE_CALL] SL:TODO] IN:DELETE_REMINDER]
Recuérda me que esta tarde debo llevar a mi perro de paseo .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO llevar a mi perro de paseo SL:TODO] [SL:DATE_TIME esta tarde SL:DATE_TIME] IN:CREATE_REMINDER]
Recuérda me que llame al trabajo en una hora .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO [IN:CREATE_CALL [SL:CONTACT trabajo SL:CONTACT] IN:CREATE_CALL] SL:TODO] [SL:DATE_TIME en una hora SL:DATE_TIME] IN:CREATE_REMINDER]
Programa un recordatorio para llamar a mamá esta noche .	[IN:CREATE_REMINDER [SL:TODO   [IN:CREATE_CALL     [SL:CONTACT [IN:GET_CONTACT [SL:TYPE_RELATION mamá SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL] SL:TODO] [SL:DATE_TIME esta noche SL:DATE_TIME] IN:CREATE_REMINDER]
Recuérda me llevar al perro al veterinario el miércoles a las 13 : 00 .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO llevar al perro al veterinario SL:TODO] [SL:DATE_TIME miércoles a las 13 : 00 SL:DATE_TIME] IN:CREATE_REMINDER]
Programa un recordatorio para llamar a Sheila el viernes a las 21 : 00 .	[IN:CREATE_REMINDER [SL:TODO [IN:CREATE_CALL [SL:CONTACT Sheila SL:CONTACT] IN:CREATE_CALL] SL:TODO] [SL:DATE_TIME viernes a las 21 : 00 SL:DATE_TIME] IN:CREATE_REMINDER]
Programa un recordatorio para que vaya al dentista mañana a las 13 : 00 .	[IN:CREATE_REMINDER [SL:TODO vaya al dentista SL:TODO] [SL:DATE_TIME mañana a las 13 : 00 SL:DATE_TIME] IN:CREATE_REMINDER]
Recuérda me enviarle flores a mi madre el próximo día de la madre .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO enviarle flores a mi madre SL:TODO] [SL:DATE_TIME próximo día de la madre SL:DATE_TIME] IN:CREATE_REMINDER]
Recuérda me que debo enviarle la documentación al abogado .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO enviarle la documentación al abogado SL:TODO] IN:CREATE_REMINDER]
Recuérda me que estudie esta noche .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO estudie SL:TODO] [SL:DATE_TIME esta noche SL:DATE_TIME] IN:CREATE_REMINDER]
Cancela el recordatorio para el Dentista .	[IN:DELETE_REMINDER [SL:TODO Dentista SL:TODO] IN:DELETE_REMINDER]
Cancela mi recordatorio de trabajo .	[IN:DELETE_REMINDER [SL:PERSON_REMINDED mi SL:PERSON_REMINDED] [SL:TODO trabajo SL:TODO] IN:DELETE_REMINDER]
Cancela mi recordatorio para comprar papel higiénico .	[IN:DELETE_REMINDER [SL:PERSON_REMINDED mi SL:PERSON_REMINDED] [SL:TODO comprar papel higiénico SL:TODO] IN:DELETE_REMINDER]
Recuérda me que debo recoger el lavado en seco .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO recoger el lavado en seco SL:TODO] IN:CREATE_REMINDER]
Recuérda me que debo comenzar a cocinar el pollo a las 14 : 00 .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO comenzar a cocinar el pollo SL:TODO] [SL:DATE_TIME a las 14 : 00 SL:DATE_TIME] IN:CREATE_REMINDER]
Recuérda me que debo irme temprano mañana .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO irme temprano SL:TODO] [SL:DATE_TIME mañana SL:DATE_TIME] IN:CREATE_REMINDER]
Cancela mis recordatorios de hoy .	[IN:DELETE_REMINDER [SL:PERSON_REMINDED mis SL:PERSON_REMINDED] [SL:DATE_TIME de hoy SL:DATE_TIME] IN:DELETE_REMINDER]
Recuérda me sacar la basura el martes a la noche .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO sacar la basura SL:TODO] [SL:DATE_TIME martes a la noche SL:DATE_TIME] IN:CREATE_REMINDER]
Programa un recordatorio para la fiesta de Tod .	[IN:CREATE_REMINDER [SL:TODO fiesta de Tod SL:TODO] IN:CREATE_REMINDER]
Recuérda me que debo comprar albahaca .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO comprar albahaca SL:TODO] IN:CREATE_REMINDER]
Recuérda me que compre pan hoy .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO compre pan SL:TODO] [SL:DATE_TIME hoy SL:DATE_TIME] IN:CREATE_REMINDER]
Programa el recordatorio para las 10 : 00 .	[IN:CREATE_REMINDER [SL:DATE_TIME para las 10 : 00 SL:DATE_TIME] IN:CREATE_REMINDER]
Recuérda me que debo firmar el permiso .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO firmar el permiso SL:TODO] IN:CREATE_REMINDER]
Recuérda me sobre mi entrevista el lunes por la mañana .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED me SL:PERSON_REMINDED] [SL:TODO mi entrevista SL:TODO] [SL:DATE_TIME lunes por la mañana SL:DATE_TIME] IN:CREATE_REMINDER]
Programa un recordatorio para ver Escándalo esta noche .	[IN:CREATE_REMINDER [SL:TODO ver Escándalo SL:TODO] [SL:DATE_TIME esta noche SL:DATE_TIME] IN:CREATE_REMINDER]
RECUÉRDA ME LA CITA CON EL MÉDICO DE LOS NIÑOS EL MIÉRCOLES A LAS 10 : 00 .	[IN:CREATE_REMINDER [SL:PERSON_REMINDED ME SL:PERSON_REMINDED] [SL:TODO LA CITA CON EL MÉDICO DE LOS NIÑOS SL:TODO] [SL:DATE_TIME EL MIÉRCOLES A LAS 10 : 00 SL:DATE_TIME] IN:CREATE_REMINDER]
